Source: www.abc.org.uk/data Detailed Data Exported: 08/11/2022 12:15:44 
Copyright & Database right – all rights reserved. see www.abc.org.uk/copyright for details
"PERIOD","START DATE","END DATE","TITLE","REGISTRATION STATUS","OWNER","MARKET SECTOR","ISSUES","COVER PRICE","REGION","PLATFORM","CATEGORY/RATE","AVG. PER ISSUE"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","UK / ROI","Print","Free Copies - Regular Net","154"
"Jan - Dec 2021","2021-01-01","2021-12-31","Auto Express","Registered","Autovia Ltd","Motoring & Motorcycling: Motoring - General","51","£3.60","Other Countries","Print","Free Copies - Regular Net","5"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","UK / ROI","Digital","Paid Single Copies - 20-99%","27"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","Other Countries","Digital","Paid Single Copies - 20-99%","12"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","UK / ROI","Digital","Paid Subscriptions - 20-99%","314"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","Other Countries","Digital","Paid Subscriptions - 20-99%","217"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","UK / ROI","Digital","Paid Subscriptions - All You Can Read","5016"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","Other Countries","Digital","Paid Subscriptions - All You Can Read","1203"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","UK / ROI","Digital","Paid Subscriptions - Below 20%","392"
"Jan - Dec 2021","2021-01-01","2021-12-31","Autocar - Digital","Registered","Haymarket Consumer Media","Motoring & Motorcycling: Motoring - General","50","£3.80","Other Countries","Digital","Paid Subscriptions - Below 20%","54"
